timestamp_utc,host,source,image,model_path,text_only_control,context,max_num_seqs,max_num_batched_tokens,gpu_memory_utilization,kv_cache_dtype,enforce_eager,prefix_caching,prefix_hit_rate,status,oom_killed,http_200,http_error,token_ids,logprobs,repeat_requests,clean_stop,prompt_tps,generation_tps,p50_latency_s,p95_latency_s,memory_available_before_gib,memory_available_after_load_gib,memory_available_after_test_gib,notes
2026-07-10T16:04:00Z,spark-f7e2,live,vllm/vllm-openai:v0.24.0-aarch64,/home/jarrodbarnes/models/Qwen/Qwen3.5-9B,--language-model-only,131072,4,4096,0.35,auto,false,true,0.874,keep,false,8,0,true,true,8,true,unknown,20.046,unknown,unknown,unknown,unknown,unknown,"k8 65K-prefix max256 group: cold 56.437370s; group wall 102.167061s; clean stop"
2026-07-10T16:09:00Z,spark-f7e2,live,vllm/vllm-openai:v0.24.0-aarch64,/home/jarrodbarnes/models/Qwen/Qwen3.5-9B,--language-model-only,131072,8,4096,0.35,auto,false,true,0.874,keep,false,8,0,true,true,8,true,unknown,25.284,unknown,unknown,117.03,72.31,72.26,"k8 65K-prefix max256 group: cold 56.397342s; group wall 80.998668s; live aggregate decode peak 74.9 tok/s; clean stop"
2026-07-10T16:14:00Z,spark-f7e2,live,vllm/vllm-openai:v0.24.0-aarch64,/home/jarrodbarnes/models/Qwen/Qwen3.5-9B,--language-model-only,131072,8,8192,0.35,auto,false,true,0.874,keep,false,8,0,true,true,8,true,unknown,25.081,unknown,unknown,117.03,72.36,72.23,"k8 65K-prefix max256 group: cold 57.004330s; group wall 81.654254s; live aggregate decode peak 74.9 tok/s; clean stop"
2026-07-10T16:17:00Z,spark-f7e2,live,vllm/vllm-openai:v0.24.0-aarch64,/home/jarrodbarnes/models/Qwen/Qwen3.5-9B,--language-model-only,131072,8,16384,0.35,auto,false,true,0.874,keep,false,8,0,true,true,8,true,unknown,25.338,unknown,unknown,unknown,unknown,unknown,"k8 65K-prefix max256 group: cold 56.654064s; group wall 80.825753s; live aggregate decode peak 75.6 tok/s; clean stop"
2026-07-10T16:22:00Z,spark-f7e2,live,vllm/vllm-openai:v0.24.0-aarch64,/home/jarrodbarnes/models/Qwen/Qwen3.5-9B,--language-model-only,131072,8,32768,0.35,auto,false,true,0.874,keep,false,8,0,true,true,8,true,unknown,25.253,unknown,unknown,unknown,unknown,unknown,"k8 65K-prefix max256 group: cold 56.487171s; group wall 81.100202s; KV capacity 591623 tokens; clean stop"
2026-07-10T16:26:00Z,spark-f7e2,live,vllm/vllm-openai:v0.24.0-aarch64,/home/jarrodbarnes/models/Qwen/Qwen3.5-9B,--language-model-only,131072,8,65536,0.35,auto,false,true,0.874,keep,false,8,0,true,true,8,true,unknown,25.582,unknown,unknown,unknown,unknown,unknown,"k8 65K-prefix max256 group: cold 55.528174s; group wall 80.057643s; KV capacity 459009 tokens; live aggregate decode peak 74.9 tok/s; clean stop"
2026-07-10T16:31:00Z,spark-f7e2,live,vllm/vllm-openai:v0.24.0-aarch64,/home/jarrodbarnes/models/Qwen/Qwen3.5-9B,--language-model-only,131072,8,65536,0.35,auto,false,true,0.874,keep,false,8,0,true,true,8,true,unknown,40.042,unknown,unknown,unknown,unknown,unknown,"Actual contract: k8 65K-prefix max1536 group; 12288 generated tokens; cold 162.205278s; seven warm concurrent requests max 144.619040s; group wall 306.874395s; live decode 74.2-74.9 tok/s; no errors; clean stop"
2026-07-10T19:11:17Z,spark-f7e2,live,vllm/vllm-openai:v0.24.0-aarch64,/home/jarrodbarnes/models/Qwen/Qwen3.5-9B,--language-model-only,4096,1,4096,0.35,auto,false,false,0.0,keep,false,10,0,true,true,10,true,unknown,unknown,unknown,unknown,116,72,72,"Online per-tensor FP8 model weights (--quantization fp8); coherent text; every repeat returned 16 token IDs and 16 finite selected-token logprobs; 627060-token KV capacity; init 95.10s; cleanup restored 116 GiB available"
2026-07-10T20:33:32Z,spark-f7e2,live,vllm/vllm-openai:v0.24.0-aarch64,/home/jarrodbarnes/models/Qwen/Qwen3.5-9B,--language-model-only+--quantization-fp8,131072,1,4096,0.35,auto,false,false,0.0,keep,false,1,0,true,true,1,true,1955.0,0.481,33.248100,33.248100,115.89,71.35,71.36,"FP8 hard-context fit: exact 65000-token raw prompt plus 16 generated token IDs and finite selected logprobs; 874333 KV tokens; 6.67x full-context concurrency; clean stop"
2026-07-10T20:38:02Z,spark-f7e2,live,vllm/vllm-openai:v0.24.0-aarch64,/home/jarrodbarnes/models/Qwen/Qwen3.5-9B,--language-model-only+--quantization-fp8,131072,1,4096,0.35,auto,false,true,0.499569,keep,false,2,0,true,true,2,true,unknown,0.935,0.896092,33.333429,115.91,71.30,71.31,"FP8 prefix parity: cold 33.333429s, warm 0.896092s, identical token IDs, max selected-logprob delta 0, 64944 hits of 130000 total queries"
2026-07-10T20:42:43Z,spark-f7e2,live,vllm/vllm-openai:v0.24.0-aarch64,/home/jarrodbarnes/models/Qwen/Qwen3.5-9B,--language-model-only+--quantization-fp8,131072,8,4096,0.35,auto,false,true,0.874246,keep,false,8,0,true,true,8,true,unknown,32.061,unknown,unknown,115.89,71.23,71.19,"FP8 k8 65K-prefix max256 group: cold 46.556920s; warm max 17.294327s; group wall 63.878113s; 871757 KV tokens; clean stop"
2026-07-10T20:47:34Z,spark-f7e2,live,vllm/vllm-openai:v0.24.0-aarch64,/home/jarrodbarnes/models/Qwen/Qwen3.5-9B,--language-model-only+--quantization-fp8,131072,8,16384,0.35,auto,false,true,0.874246,discard,false,8,0,true,true,8,true,unknown,29.365,unknown,unknown,115.89,72.59,69.67,"FP8 k8 65K-prefix max256 group: cold 52.419281s; warm max 17.307639s; group wall 69.743798s; slower than 4096; clean stop"
2026-07-10T20:55:46Z,spark-f7e2,live,vllm/vllm-openai:v0.24.0-aarch64,/home/jarrodbarnes/models/Qwen/Qwen3.5-9B,--language-model-only+--quantization-fp8,131072,8,65536,0.35,auto,false,true,0.874246,selected,false,8,0,true,true,8,true,unknown,54.748,unknown,unknown,115.89,74.90,63.26,"Production contract: FP8 k8 65K-prefix max1536; 12288 aligned token IDs/logprobs; cold 121.900856s; warm max 102.527895s; group wall 224.445773s; 691340 KV tokens; 36.7% faster than BF16; clean stop"
